"","Date","Individual","Foreigner","Institution"
"484","17.07.21","-2,170","2,884","-611"
"485","17.07.20","-1,451","582","484"
"486","17.07.19","-773","-978","1,290"
"487","17.07.18","610","-2,175","1,220"
"488","17.07.17","-1,130","-428","1,117"
"489","17.07.14","-534","1,989","242"
"490","17.07.13","-2,064","3,403","-1,861"
"491","17.07.12","1,804","3,839","-2,520"
"492","17.07.11","-1,237","982","-204"
"493","17.07.10","-462","-580","772"
"494","17.07.07","636","2,766","549"
"495","17.07.06","1,291","2,190","-3,999"
"496","17.07.05","540","-61","-816"
"497","17.07.04","447","-1,936","1,041"
"498","17.07.03","-843","1,076","-845"
"499","17.06.30","1,086","-385","-1,200"
"500","17.06.29","-1,667","999","201"
"501","17.06.28","1,335","-1,810","-63"
"502","17.06.27","2,221","541","-3,260"
"503","17.06.26","220","441","-1,225"
"504","17.06.23","-2,994","1,664","1,061"
"505","17.06.22","758","1,831","473"
"506","17.06.21","2,943","-1,826","-1,859"
"507","17.06.20","3,582","4,887","-5,985"
"508","17.06.19","-1,019","1,235","-545"
"509","17.06.16","550","-1,629","582"
"510","17.06.15","2,587","123","-3,060"
"511","17.06.14","529","236","-1,221"
"512","17.06.13","-1,219","-782","1,625"
"513","17.06.12","4,988","-1,445","-4,078"
"514","17.06.09","-1,763","1,525","-370"
"515","17.06.08","979","2,835","-4,536"
"516","17.06.07","1,265","1,149","-2,967"
"517","17.06.05","43","2,740","-3,278"
"518","17.06.02","-2,407","4,475","-2,510"
"519","17.06.01","751","-103","-893"
"520","17.05.31","-369","-3,623","3,609"
"521","17.05.30","135","-456","-29"
"522","17.05.29","515","240","-1,069"
"523","17.05.26","-2,587","1,208","851"
"524","17.05.25","-4,053","1,184","2,656"
"525","17.05.24","-365","775","-894"
"526","17.05.23","-2,616","-541","2,812"
"527","17.05.22","-885","2,882","-2,602"
"528","17.05.19","-651","401","-276"
"529","17.05.18","-191","259","-638"
"530","17.05.17","1,617","79","-2,189"
"531","17.05.16","234","2,345","730"
"532","17.05.15","350","-971","252"
"533","17.05.12","3,635","-3,038","-939"
"534","17.05.11","-4,441","1,017","3,318"
"535","17.05.10","-1,005","1,117","-462"
"536","17.05.08","-6,632","5,394","855"
"537","17.05.04","-709","3,612","-3,334"
"538","17.05.02","-1,297","1,333","-474"
"539","17.04.28","3,399","-162","-3,548"
"540","17.04.27","1,549","116","-1,587"
"541","17.04.26","-3,680","2,935","768"
"542","17.04.25","-3,678","6,486","-2,810"
"543","17.04.24","-2,495","3,355","-724"
"544","17.04.21","-3,165","2,342","899"
"545","17.04.20","-2,761","739","2,236"
"546","17.04.19","1,159","-2,262","1,104"
"547","17.04.18","-482","98","385"
"548","17.04.17","-1,610","-1,146","2,666"
"549","17.04.14","444","-755","228"
"550","17.04.13","-1,138","-19","1,042"
"551","17.04.12","248","741","-1,048"
"552","17.04.11","314","-1,276","978"
"553","17.04.10","64","-541","-45"
"554","17.04.07","104","-791","1,031"
"555","17.04.06","1,683","-933","-1,179"
"556","17.04.05","1,280","-74","-1,672"
"557","17.04.04","1,794","-1,029","-1,235"
"558","17.04.03","-593","-233","312"
"559","17.03.31","-1,110","265","329"
"560","17.03.30","656","902","-1,692"
"561","17.03.29","368","-618","-264"
"562","17.03.28","19","216","-818"
"563","17.03.27","167","364","-1,047"
"564","17.03.24","-1,868","-905","2,207"
"565","17.03.23","-1,284","539","182"
"566","17.03.22","1,813","-957","-1,169"
"567","17.03.21","-2,348","3,613","-1,899"
"568","17.03.20","850","-844","-517"
"569","17.03.17","-935","2,504","-2,104"
"570","17.03.16","-2,374","2,776","-893"
"571","17.03.15","847","1,292","-2,688"
"572","17.03.14","-501","4,060","-4,065"
"573","17.03.13","-2,824","4,542","-2,161"
"574","17.03.10","553","1,589","-2,781"
"575","17.03.09","1,105","4,434","-6,175"
"576","17.03.08","-174","1,536","-1,966"
